scene,psnr,ssim,lpips,primitives,accepted_receipt
bench,37.31293869018555,0.9258654117584229,0.040539003908634186,379219,accepted/10k/bench/receipt.json
camellia,36.48557662963867,0.934650719165802,0.027497613802552223,615891,accepted/10k/camellia/receipt.json
dragon,40.01408004760742,0.9646868705749512,0.02332061529159546,450552,accepted/10k/dragon/receipt.json
jars,38.62500762939453,0.9484012722969055,0.03038324974477291,488866,accepted/10k/jars/receipt.json
jars2,36.640968322753906,0.906537652015686,0.07748973369598389,360193,accepted/10k/jars2/receipt.json
postbox,36.58706283569336,0.929792582988739,0.04201507195830345,516129,accepted/10k/postbox/receipt.json
stone_lantern,38.5335578918457,0.9488763213157654,0.05439482629299164,239166,accepted/10k/stone_lantern/receipt.json
sunflowers,38.159481048583984,0.9372807741165161,0.07535316050052643,212988,accepted/10k/sunflowers/receipt.json
